id,idiom_kaz,idiom_rus,usage_ex_kaz,usage_rus_trans
1,Екі кеме құйрығын ұстаған суға кетер,Гоняться за двумя зайцами,"Екі кеме құйрығын ұстаған суға кетер демекші, бір уақытта екі жерде жұмыс істеймін деп екеуінен де айырылды.","Погнавшись за двумя зайцами, он пытался работать в двух местах одновременно и в итоге потерял обе работы."
2,Аузымен құс тістеген,Хватать звезды с неба,Аузымен құс тістеген ақын еді.,"Он был из тех поэтов, кто звёзды хватает с неба."
3,Ат-тонын ала қашу,Отбиваться руками и ногами,"Бұл жұмысты ұсынғанда, ол ат-тонын ала қашты.","Когда ему предложили эту работу, он отбивался руками и ногами."
4,Ағаштан түйін түйеді,Мастер на все руки,Бұл Керей дегенің ағаштан түйін түйеді деуі рас екен.,"Недаром говорят, что керейцы славятся мастерами на все руки."
5,Ақпа құлақ,"В одно ухо влетает, в другое вылетает","Құйма құлаққа айтсаң, құйып алады, ақпа құлаққа айтсаң, ағып кетеді.","Понятливый запоминает, у рассеянного в одно ухо влетает, в другое вылетает."
6,Абыройы айрандай төгілу,"Опозориться, осрамиться","Ана, анығына жетпей абыройымды айрандай төккеніңіз калай?","Зачем же вы опозорили меня, не разобравшись как следует?"
7,Ағаш атқа мінгізу,"Поднимать на смех, склонять на все лады",Осы жерде ұры еместі ұры гып... ағаш атқа мінгізіп жатқан кез ғой.,"...здесь даже честного могут выдать за вора, склоняя на все лады."
8,"Айрандай аптап, күбідей күптеп",Прибрать к рукам,"Жаным-ау, айрандай аптап, кубідей күптеп болды ғой.","Родные мои, он ведь полностью прибрал нас к рукам."
9,"Айыр көмей, жез таңдай","Златоуст, оратор","Олардың біразы – айыр көмей, жез таңдай аталатын билер.",Некоторые из биев были признанными ораторами.
10,Ақ май аузынан ағу,Как сыр в масле кататься,Кешегі ақ майды аяғымен тепкен ел...,Лишь вчера этот народ жил в довольстве...
11,Ақ түйенің қарны жарылу,Пир горой,"Бүгін ақ түйенің қарны жарылады гой, амандық болса.","Будет пир горой, если всё обойдётся."
12,Ала жібін аттамау,Быть кристально честным,"Ала жібін аттама, жаныңды аяма,- деді Қазанғап.","- Будь честным, трудись, не жалея себя, напутствовал Казангап."
13,Алақанына салу,Носить на руках,Жас күнінен бір үйдің түгелімен еркелетін алақанына салған баласы.,"С малых лет вся семья нежила этого ребёнка, его носили на руках."
14,Алты бақан ала ауыз,Постоянные раздоры,"Сорлы қазақ сол үшін, Алты бақан ала ауыз.",...несут разлад казахскому народу.
15,Апшысын қуыру,Задать перцу,Мейрамның алғашқы кездескен жерде апшысын қуырып өткен келіншек осы Балжан еді.,"А вот и молодуха по имени Балжан, задавшая перцу Мейраму..."
16,"Арқа еті арша, борбай еті борша болу",Работать до седьмого пота,"Солардың арқа еті арша, борбай еті борша болып, жалпақ табандары сор таптаған жол.","Вот по этой дороге прошли они, измученные, выбиваясь из сил."
17,Ат құлағында ойнау,Лихо скакать на коне,Қазақтың бес жасар баласы ат құлағында ойнауды ешбір мектептен оқыған жок.,Казахские мальчишки уже в пять лет лихо скачут на лошадях.
18,Аузы аппақ болу,Остаться с носом,"Қазірден өзара бір ынтымаққа келмесе, кейін ауыз аппақ бола ма деп коркады.","Если они не придут к единому мнению, то могут остаться ни с чем."
19,Аузын буған өгіздей,Набрать в рот воды,Ендеше аузын буған өгізге ұқсап сегіз ай бойы неге жүрдім үн-түнсіз.,"Тогда почему же я на протяжении восьми месяцев молчал, будто в рот воды набрал?"
20,"Ашса алақанында, жұмса жұдырығында",Гнуть в бараний рог,"Бірақ, не десе де, түгел Тобыкты ашса алақанында, жұмса жұмырығында.","Что ни говорите, он цепко держал в повиновении и гнул тобыктинцев в три дуги."
21,Аяғын аспаннан келтіру,Положить на лопатки,Сағынованы шалқасынан түсірдің. Аяғын аспаннан келтірдің.,Сагынову на лопатки положила.
22,"Балапан басына, тұрымтай тұсына кету",Разбегаться кто куда,"Балапан басына, тұрымтай тұсына дейтін кез жетті.","Наступило такое время, когда всем пришлось разбегаться кто куда."
23,Бармағын тістеу,Кусать себе локти,"Оразбай өз бармағын өзі тістеп, басын шайқап бір өкініш ойлап қалды.","Уразбай кусал себе локти, сожалея о содеянном."
24,"Бармақ басты, көз қысты",Шито-крыто,"Олар жегенде бармақ басты, көз қысты деп жең ұшынан жалғасады.","Они договариваются тайком, вершат свои делишки, и всё шито-крыто."
25,Без бүйрек,"Бездушный, черствый","Бітімі жок, без бүйрек Еспембетті салғаны ма?","Ну, если на переговоры послан этот несговорчивый, бездушный Еспембет..."
26,Бүйректен сирақ шығару,Переиначивать вкривь и вкось,"Әділбай, балдыз болсаң, бүйректен сирақ шығармай жайыңа отыр.","Адильбай, ты хоть и приходишься мне родственником, не переиначивай всё вкривь и вкось."
27,Екі аяғын бір етікке тығу,Брать в оборот,Келіншек Мейрамның екі аяғын бір етікке тықты.,Молодая женщина взяла Мейрама в оборот.
28,Екі езуі екі құлағында,Рот до ушей,Екі езуі екі құлағына жеткен Толстунов біздің алдымыздан жайраң қағып шықты.,"Навстречу нам вышел Толстунов, улыбаясь во весь рот."
29,Бетінен қаны тамған,"Кровь с молоком, краснощекая",Алғашқы күні қымызды бетінен қаны тамған шолпылы қыз құйып беріп еді.,"В первый день ему подавала кумыс краснощёкая, в самом соку девушка."
30,"Алты аласы, бес бересі жоқ","Никому ничем не обязан, нет личных счетов","Уақпен менің алты аласы, бес бересім жок.",Между мною и родом Уак нет никаких личных счетов.
